name,price,link
"S&B .223 REM. FMJ 3,6 G BULK",0.56 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-223-rem-fmj-36-g-bulk-_gxwv65/
WINCHESTER .223 REM FMJ 55 GR/3.56 G CARTRIDGE,0.56 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/winchester/winchester-223-rem-fmj-55-gr-356-g-cartridge-_95nkbl/
"BERGER MATCH VARMINT 22 CAL FB 4,0 G BULLET",0.70 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/berger/berger-match-varmint-22-cal-fb-40-g-bullet-_7m1ikb/
S&B .300 AAC BLACKOUT FMJ 9.55 G,1.10 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-300-aac-blackout-fmj-955-g-_8ajycp/
"SAKO .222 REM. 105G RANGE SPEEDHEAD 3,2 G",1.17 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-222-rem-105g-range-speedhead-32-g-_wnjzka/
"S&B .308 WIN. FMJ 9,55 G",1.20 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-308-win-fmj-955-g-_pfuuq7/
"S&B .222 REM. FMJ 3,24G",1.20 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-222-rem-fmj-324g-_6o5ryo/
"S&B 7x65 R SP 9,1 G",1.22 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-7x65-r-sp-91-g-_rrf7h9/
"NORMA R&T FMJ 6,5X55 SE 8,0 G",1.22 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-rt-fmj-65x55-se-80-g-_afe0h1/
"SAKO .223 REM. SPEEDHEAD FMJ 3,2 G",1.22 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-223-rem-speedhead-fmj-32-g-_iwizcb/
S&B .300 AAC BLACKOUT SUBSONIC FMJ 13.0 G,1.22 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-300-aac-blackout-subsonic-fmj-130-g-_ujiy4q/
"S&B .30-06 SPR 11,7 G (BULK)",1.24 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-30-06-spr-117-g-bulk-_4nxq6w/
"SAKO .222 REM. 105G RANGE SPEEDHEAD 3,2 G",1.25 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-222-rem-105g-range-speedhead-32-g-_f8dhky/
"NORMA .223 REM. FMJ 3,6 G",1.26 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-223-rem-fmj-36-g-_yd8p5l/
"NORMA R&T FMJ .308 WIN. 9,7 G",1.27 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-rt-fmj-308-win-97-g-_ixc013/
"NORMA R&T FMJ 6,5 CREEDMOOR 8,0 G",1.30 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-rt-fmj-65-creedmoor-80-g-_k9eqgv/
"S&B .222 REM. SP 3,24 G",1.32 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-222-rem-sp-324-g-_tfcpct/
"SAKO .223 REM. GAMEHEAD 3,2 G",1.32 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-223-rem-gamehead-32-g-_k2qy6a/
"S&B .223 REM. SP 3,6 G CARTRIDGE",1.32 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-223-rem-sp-36-g-cartridge-_pa5d8j/
"NORMA .222 REM. FMJ 3,6 G",1.35 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-222-rem-fmj-36-g-_8roetp/
"NORMA R&T FMJ .30-06 SPR. 9,7 G",1.38 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-rt-fmj-30-06-spr-97-g-_wod092/
"SAKO .223 REM. SOFT POINT 3,2 G",1.38 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-223-rem-soft-point-32-g-_o0ccuz/
"SAKO .223 REM. SPEEDHEAD 3,2G",1.38 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-223-rem-speedhead-32g-_7kcv2o/
"S&B .30-06 SPR. 9,55 G (BULK)",1.40 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-30-06-spr-955-g-bulk-_ieyqev/
S&B .223 REM HPBT/OTM 4.5 G CARTRIDGE,1.40 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-223-rem-hpbt-otm-45-g-cartridge-_8g6tqa/
"SAKO .223 REM GAMEHEAD 3,56 G",1.40 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-223-rem-gamehead-356-g-_zh4fl7/
"NORMA 8x57 JS FMJ JM 8,0 G",1.40 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-8x57-js-fmj-jm-80-g-_h9965f/
"S&B .223 REM. HPBT 3,36 G",1.40 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-223-rem-hpbt-336-g-_kmvdma/
"NORMA .22-250 REM. FMJ 3,6 G",1.43 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-22-250-rem-fmj-36-g-_8ppavq/
"S&B .222 REM HPBT 3,36 G ITAR",1.44 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-222-rem-hpbt-336-g-itar-_euzcro/
"S&B .30-06 SPR SP 11,7 G (BULK)",1.48 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-30-06-spr-sp-117-g-bulk-_s819dq/
"S&B 7x65 R 7x65 R 9,1 G",1.53 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-7x65-r-7x65-r-91-g-_e0e79a/
S&B .303 BRITISH FMJ 11.7 G,1.53 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-303-british-fmj-117-g-_djmz0m/
S&B .303 BRITISH SP 9.7 G,1.53 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-303-british-sp-97-g-_zslysn/
"S&B 6,5 CREEDMOOR SP 9,1 G ",1.54 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-65-creedmoor-sp-91-g-_e6jj3d/
"NORMA .308 WIN. FMJ JM 9,7G",1.55 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-308-win-fmj-jm-97g-_xs3csl/
"S&B 6,5 CREEDMO0R SP 10,1 G ",1.55 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-65-creedmo0r-sp-101-g-_57buu5/
"SAKO .222 REM. GAMEHEAD 3,56 G",1.55 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-222-rem-gamehead-356-g-_4q7g94/
"NORMA .30-06 SPR. FMJ JM 9,7 G",1.56 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-30-06-spr-fmj-jm-97-g-_29l8t3/
"S&B 6,5 CREEDMOOR FMJBT 9,1 G",1.57 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-65-creedmoor-fmjbt-91-g-_jfmjra/
"NORMA .222 REM. SP 3,2 G",1.59 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-222-rem-sp-32-g-_c49pdk/
"NORMA 9,3 X 57 JM 15,0 G",1.59 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-93-x-57-jm-150-g-_al3g2q/
"S&B 6,5x55 SE HPBT 9,2 G",1.59 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-65x55-se-hpbt-92-g-_8hi8zl/
"S&B 8x57 JS SPCE 12,7 G",1.60 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-8x57-js-spce-127-g-_v51ey4/
S&B .30-30 WINCHESTER SP 9.7 G,1.62 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-30-30-winchester-sp-97-g-_m1kyko/
"NORMA .222 REM. FMJ 3,6G",1.62 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-222-rem-fmj-36g-_ksnh81/
SAKO .308 WIN. 120A RANGE SPEEDHEAD 8 G,1.65 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-308-win-120a-range-speedhead-8-g-_9zagx1/
"S&B 8x57 JS SPCE 12,7 G",1.68 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-8x57-js-spce-127-g-_zy8u68/
"S&B .308 WIN. FMJ 9,55 G",1.68 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-308-win-fmj-955-g-_m1aece/
"S&B .243 WIN. SP 6,5G",1.68 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-243-win-sp-65g-_je8ghx/
"S&B 6,5 CREEDMOOR HPBT 9,2 G",1.72 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-65-creedmoor-hpbt-92-g-_5oljjb/
"S&B 6,5x55 SE SP 10.1 G",1.73 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-65x55-se-sp-101-g-_f63riq/
LAPUA .222 REM. FMJ 3.6G,1.73 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/lapua/lapua-222-rem-fmj-36g-_neok1h/
"S&B 7x65 R HPC 10,2 G",1.73 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-7x65-r-hpc-102-g-_316dgi/
"S&B 6,5x55 SE SP 9,1 G",1.73 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-65x55-se-sp-91-g-_p8z9zc/
"PADRUN LAPUA .308 WIN FMJ 8,0 G",1.73 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/lapua/padrun-lapua-308-win-fmj-80-g-_15pk9g/
"S&B 7,62 X 54R FMJ 11,7 G",1.73 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-762-x-54r-fmj-117-g-_49takv/
"NORMA .222 REM. SP 4,0 G",1.74 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-222-rem-sp-40-g-_71mh02/
"NORMA TIPSTRIKE .223 REM. 3,6 G",1.74 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-tipstrike-223-rem-36-g-_v0nelq/
"SAKO 7,62X39 117A SPEEDHEAD 8 G ",1.75 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-762x39-117a-speedhead-8-g-_508bz3/
"NORMA  JM 9,3x62 15,0 G",1.75 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-jm-93x62-150-g-_j31fms/
"S&B 6,5x55 SE FMJ 8,0 G",1.78 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-65x55-se-fmj-80-g-_7gp7f0/
"S&B 7,62 X 54R SP 11,7 G",1.78 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-762-x-54r-sp-117-g-_qisacw/
"NORMA TIPSTRIKE .222 REM. 3,6 G",1.82 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-tipstrike-222-rem-36-g-_5r8e1x/
"NORMA .22-250 REM HORNADY VMAX 3,2 G CARTRIDGE",1.83 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-22-250-rem-hornady-vmax-32-g-cartridge-_ykk64u/
"S&B .308 WIN. SPCE 9,7 G",1.83 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-308-win-spce-97-g-_bjex8u/
" S&B .308 WIN. FMJ 11,7 G",1.83 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-308-win-fmj-117-g-_0e4fm1/
"S&B .30-06 SPR. SPCE 9,7 G CARTRIDGE",1.83 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-30-06-spr-spce-97-g-cartridge-_crra4x/
"S&B .308 WIN. SP 11,7 G",1.83 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-308-win-sp-117-g-_gs7doh/
"S&B .30-06 SPR. SP 11,7 G",1.83 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-30-06-spr-sp-117-g-_trn991/
"NORMA 6,5x55 FMJ 8 G",1.83 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-65x55-fmj-8-g-_ikw60q/
"SAKO .7,62X39 134A GAMEHEAD 8 G",1.85 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-762x39-134a-gamehead-8-g-_3ymblp/
"S&B .308 WIN. SPCE 11,7 G",1.88 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-308-win-spce-117-g-_no1r2s/
LAPUA .30-06 SPR FMJ 8.0 G,1.88 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/lapua/lapua-30-06-spr-fmj-80-g-_ewqkhf/
"SAKO .22-250 REM. SPEEDHEAD 3,2 G",1.90 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-22-250-rem-speedhead-32-g-_1hchcz/
