name,price,link
ZALA SPORTING .12/70 24 G,0.30 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/zala-arms/zala-sporting-12-70-24-g-_qzjkhj/
ZALA SPORTING .12/70 28 G,0.33 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/zala-arms/zala-sporting-12-70-28-g-_zhhk1l/
SELLIER&BELLOT .12/70 PARCOURS 28 G,0.40 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/sellierandbellot/sellierbellot-12-70-parcours-28-g-_1g8wfx/
"CLEVER T3 PARIS 12/70 28 G NR 7,5 (2,4 MM)",0.40 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/clever/clever-t3-paris-12-70-28-g-nr-75-24-mm-_b0tv6c/
"SELLIER&BELLOT .12/70 TRAP 24 SUPER  2,4MM",0.40 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/sellierandbellot/sellierbellot-12-70-trap-24-super-24mm-_f79wnw/
"CLEVER T2 COMPETITION 12/70 28 G NR 8 (2,3 MM)",0.40 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/clever/clever-t2-competition-12-70-28-g-nr-8-23-mm-_x9suyd/
SELLIER&BELLOT .12/70 SKEET 24 SUPER 2.00MM,0.40 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/sellierandbellot/sellierbellot-12-70-skeet-24-super-200mm-_vz4400/
"CLEVER T2 COMPETITION 12/70 24 G NR 8 (2,3 MM)",0.40 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/clever/clever-t2-competition-12-70-24-g-nr-8-23-mm-_jiruqe/
WINCHESTER STREUKREUZ .12/67 P9 CARTRIDGE,0.45 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/winchester/winchester-streukreuz-12-67-p9-cartridge-_zrihnj/
WINCHESTER AA TRACKER HEAVY BLACK .12/70 32 G 7.5 SHOTSHELL,0.51 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/winchester/winchester-aa-tracker-heavy-black-12-70-32-g-75-shotshell-_xeulve/
SELLIER&BELLOT .12/70 SB CORONA 32 G,0.51 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/sellierandbellot/sellierbellot-12-70-sb-corona-32-g-_zg0uo5/
"S&B SB FAVORIT .20/67,5 28 G",0.61 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/sellierandbellot/sb-sb-favorit-20-675-28-g-_31gxos/
S&B .12/70 SB FORTUNA 36 G,0.61 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/sellierandbellot/sb-12-70-sb-fortuna-36-g-_mgkz3l/
MIRAGE SOFT STEEL T2 .12/70 28 G,0.61 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/clever/mirage-soft-steel-t2-12-70-28-g-_5yh714/
BORNAGHI T2 DELUXE 36 .12/70 36 G,0.61 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/bornaghi/bornaghi-t2-deluxe-36-12-70-36-g-_c9wiv6/
BORNAGHI .12/70 STEEL 34 G,0.65 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/bornaghi/bornaghi-12-70-steel-34-g-_i6ju6h/
S&B SB VEGA .16/70 30 G,0.65 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/sellierandbellot/sb-sb-vega-16-70-30-g-_ezqn8d/
MIRAGE SOFT STEEL T3 .20/70 24 G,0.66 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/clever/mirage-soft-steel-t3-20-70-24-g-_fooxd6/
"S&B SB FAVORIT .20/67,5 28 G",0.68 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/sellierandbellot/sb-sb-favorit-20-675-28-g-_nfur2m/
ZALA EXPRESS LINE .20/70 21 G CARTRIDGE,0.71 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/zala-arms/zala-express-line-20-70-21-g-cartridge-_80lqms/
ZALA TARGET SLUG .12/70 28 G,0.71 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/zala-arms/zala-target-slug-12-70-28-g-_ouka51/
