name,price,link
AGUILA .22LR SUPER EXTRA HV HP 2.46 G,0.12 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/smallbore/aguila-ammunition/aguila-22lr-super-extra-hv-hp-246-g-_8wnjmn/
"S&B .22 LR HV 2,33 G",0.12 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/smallbore/sellierandbellot/sb-22-lr-hv-233-g-_zhs2dw/
"S&B .22LR CLUB 2,60 G CARTRIDGE",0.13 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/smallbore/sellierandbellot/sb-22lr-club-260-g-cartridge-_cnd9sj/
S&B .22LR HV HP,0.16 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/smallbore/sellierandbellot/sb-22lr-hv-hp-_d8t2lv/
WINCHESTER .22 LR WILDCAT DYNAPOINT CARTRIDGE,0.16 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/smallbore/winchester/winchester-22-lr-wildcat-dynapoint-cartridge-_hnljvn/
S&B .22LR SUBSONIC LRN,0.16 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/smallbore/sellierandbellot/sb-22lr-subsonic-lrn-_kxepsr/
CCI .22LR MINI MAG SEGMENTED HP 2.59 G 376 M/S,0.16 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/smallbore/cci/cci-22lr-mini-mag-segmented-hp-259-g-376-m-s-_3cdg7m/
AGUILA .22LR SUBSONIC HP 2.46 G,0.16 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/smallbore/aguila-ammunition/aguila-22lr-subsonic-hp-246-g-_v5mjeo/
"CCI .22LR MINI-MAG CPRN 2,59 G ",0.16 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/smallbore/cci/cci-22lr-mini-mag-cprn-259-g-_34ourz/
CCI .22LR MINI MAG CPHP 2.33 G,0.16 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/smallbore/cci/cci-22lr-mini-mag-cphp-233-g-_8lggvj/
"SELLIER&BELLOT .22LR HP LHP 2,56 G",0.16 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/smallbore/sellierandbellot/sellierbellot-22lr-hp-lhp-256-g-_ygdy8q/
"AGUILA .22LR HV SP 2,6 G CARTRIDGE",0.16 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/smallbore/aguila-ammunition/aguila-22lr-hv-sp-26-g-cartridge-_k99gcq/
"CCI .22LR TARGET CLEAN LRN HV 2,59 G 376 M/S",0.17 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/smallbore/cci/cci-22lr-target-clean-lrn-hv-259-g-376-m-s-_pdnuk0/
AGUILA .22LR SUBSONIC SP 2.6 G,0.17 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/smallbore/aguila-ammunition/aguila-22lr-subsonic-sp-26-g-_helj6p/
WINCHESTER .22LR T22 2.6 G CARTRIDGE,0.17 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/smallbore/winchester/winchester-22lr-t22-26-g-cartridge-_ohrboa/
"CCI .22LR TACTICAL CPRN 2,59 G 365 M/S",0.17 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/smallbore/cci/cci-22lr-tactical-cprn-259-g-365-m-s-_bmmuc1/
